iter	Passed	Remaining
0	0	118
1	1	106
2	1	99
3	1	94
4	2	91
5	6	200
6	7	201
7	7	187
8	8	174
9	8	163
10	9	154
11	9	147
12	9	140
13	10	134
14	10	129
15	10	125
16	11	121
17	11	118
18	12	115
19	12	111
20	12	109
21	13	106
22	13	104
23	13	102
24	14	100
25	14	98
26	15	96
27	15	95
28	15	93
29	16	92
30	16	90
31	17	89
32	17	89
33	18	88
34	19	91
35	20	91
36	20	89
37	20	88
38	21	87
39	21	86
40	22	85
41	22	84
42	22	83
43	23	82
44	23	81
45	23	80
46	24	79
47	24	78
48	25	77
49	25	76
50	25	75
51	26	74
52	26	74
53	27	73
54	27	72
55	27	71
56	28	70
57	28	70
58	28	69
59	29	68
60	29	67
61	30	67
62	30	66
63	30	65
64	31	65
65	35	71
66	35	70
67	36	70
68	36	69
69	36	68
70	37	67
71	37	66
72	38	66
73	38	65
74	38	64
75	39	64
76	39	63
77	40	63
78	40	62
79	41	61
80	41	61
81	42	60
82	42	59
83	42	59
84	43	58
85	43	57
86	44	57
87	44	56
88	44	56
89	45	55
90	45	54
91	46	54
92	46	53
93	47	54
94	48	53
95	49	53
96	49	52
97	50	52
98	50	51
99	50	50
100	51	50
101	51	49
102	52	48
103	52	48
104	52	47
105	53	47
106	53	46
107	53	45
108	54	45
109	54	44
110	55	44
111	55	43
112	55	42
113	56	42
114	56	41
115	56	41
116	57	40
117	57	40
118	58	39
119	58	38
120	63	41
121	63	40
122	64	40
123	64	39
124	65	39
125	65	38
126	66	38
127	66	37
128	66	36
129	67	36
130	67	35
131	68	35
132	68	34
133	68	33
134	69	33
135	69	32
136	70	32
137	70	31
138	71	31
139	71	30
140	71	30
141	72	29
142	72	28
143	72	28
144	73	27
145	74	27
146	75	27
147	76	26
148	76	26
149	77	25
150	77	25
151	77	24
152	78	24
153	78	23
154	79	22
155	79	22
156	79	21
157	80	21
158	80	20
159	81	20
160	81	19
161	81	19
162	82	18
163	82	18
164	83	17
165	83	17
166	83	16
167	84	16
168	84	15
169	84	14
170	85	14
171	85	13
172	86	13
173	86	12
174	86	12
175	87	11
176	87	11
177	92	11
178	92	10
179	93	10
180	93	9
181	94	9
182	94	8
183	94	8
184	95	7
185	95	7
186	95	6
187	96	6
188	96	5
189	97	5
190	97	4
191	97	4
192	98	3
193	98	3
194	99	2
195	99	2
196	99	1
197	100	1
198	100	0
199	101	0
