iter	Passed	Remaining
0	1	1620
1	2	1359
2	3	1250
3	4	1210
4	5	1155
5	6	1103
6	7	1047
7	8	1013
8	8	986
9	9	956
10	10	942
11	11	915
12	11	898
13	32	2277
14	33	2214
15	35	2178
16	36	2101
17	37	2025
18	38	1967
19	38	1908
20	39	1851
21	40	1798
22	41	1754
23	42	1711
24	50	1979
25	54	2036
26	56	2026
27	57	1997
28	68	2303
29	69	2250
30	70	2195
31	70	2144
32	77	2268
33	83	2382
34	85	2368
35	87	2352
36	89	2329
37	93	2358
38	94	2321
39	95	2288
40	96	2249
41	96	2209
42	97	2171
43	98	2143
44	99	2116
45	114	2382
46	117	2373
47	118	2348
48	119	2318
49	120	2291
50	122	2270
51	123	2244
52	123	2213
53	124	2182
54	125	2151
55	125	2121
56	126	2094
57	127	2066
58	128	2044
59	138	2171
60	144	2228
61	146	2223
62	148	2202
63	149	2181
64	150	2163
65	153	2176
66	155	2163
67	156	2138
68	156	2114
69	157	2090
70	159	2080
71	174	2245
72	177	2250
73	179	2251
74	181	2233
75	181	2211
76	183	2198
77	188	2222
78	197	2307
79	202	2327
80	203	2308
81	204	2290
82	205	2268
83	206	2251
84	207	2233
85	208	2216
86	209	2199
87	210	2183
88	211	2166
89	212	2147
90	225	2251
91	230	2279
92	232	2270
93	234	2260
94	235	2245
95	237	2232
96	238	2216
97	239	2201
98	240	2184
99	240	2168
100	241	2151
101	242	2133
102	242	2114
103	250	2159
104	257	2195
105	259	2192
106	261	2184
107	263	2175
108	264	2160
109	265	2145
110	266	2135
111	267	2121
112	268	2105
113	268	2090
114	269	2075
115	270	2060
116	270	2045
117	271	2030
118	272	2015
119	272	2000
120	273	1988
121	283	2038
122	287	2052
123	291	2057
124	292	2048
125	293	2038
126	294	2025
127	295	2015
128	296	2003
129	297	1990
130	298	1977
131	298	1965
132	299	1952
133	300	1940
134	300	1927
135	301	1916
136	302	1905
137	315	1973
138	318	1974
139	321	1974
140	322	1964
141	323	1953
142	325	1950
143	326	1940
144	327	1929
145	327	1918
146	329	1909
147	329	1899
148	330	1888
149	331	1876
150	332	1866
151	332	1856
152	343	1903
153	347	1907
154	348	1902
155	352	1905
156	353	1896
157	354	1888
158	355	1881
159	356	1873
160	357	1864
161	358	1855
162	359	1845
163	359	1834
164	360	1824
165	361	1814
166	361	1805
167	362	1795
168	363	1786
169	363	1776
170	364	1766
171	365	1758
172	366	1751
173	374	1775
174	379	1787
175	382	1791
176	384	1786
177	385	1778
178	386	1771
179	387	1765
180	388	1756
181	389	1749
182	390	1742
183	391	1735
184	392	1727
185	392	1718
186	393	1710
187	394	1702
188	394	1694
189	395	1687
190	407	1725
191	410	1727
192	413	1729
193	414	1722
194	415	1715
195	416	1709
196	417	1702
197	418	1695
198	419	1687
199	420	1680
200	420	1673
201	421	1665
202	422	1657
203	422	1649
204	423	1642
205	424	1635
206	425	1629
207	428	1631
208	431	1631
209	438	1651
210	444	1662
211	446	1659
212	447	1654
213	449	1652
214	450	1645
215	451	1638
216	452	1632
217	453	1626
218	454	1619
219	454	1612
220	455	1605
221	456	1599
222	470	1637
223	476	1651
224	478	1648
225	480	1644
226	481	1639
227	482	1633
228	483	1627
229	484	1620
230	484	1613
231	485	1606
232	485	1599
233	486	1593
234	500	1628
235	503	1628
236	505	1625
237	507	1625
238	508	1618
239	510	1615
240	511	1610
241	512	1604
242	513	1598
243	513	1591
244	514	1584
245	514	1578
246	515	1571
247	529	1606
248	532	1605
249	533	1601
250	536	1600
251	538	1597
252	539	1591
253	539	1585
254	540	1579
255	541	1573
256	542	1567
257	542	1561
258	543	1554
259	544	1548
260	544	1541
261	545	1535
262	545	1529
263	556	1551
264	559	1553
265	561	1549
266	563	1545
267	564	1542
268	566	1539
269	567	1534
270	568	1529
271	569	1523
272	570	1518
273	570	1512
274	571	1507
275	572	1501
276	573	1496
277	573	1490
278	574	1484
279	575	1478
280	575	1473
281	576	1467
282	577	1461
283	577	1456
284	578	1450
285	578	1444
286	579	1439
287	580	1436
288	581	1431
289	584	1431
290	591	1441
291	596	1446
292	598	1444
293	600	1442
294	601	1438
295	602	1433
296	603	1429
297	604	1424
298	605	1419
299	606	1414
300	607	1409
301	607	1404
302	608	1399
303	609	1395
304	611	1393
305	612	1388
306	612	1383
307	615	1383
308	625	1399
309	629	1400
310	630	1397
311	631	1392
312	632	1389
313	633	1384
314	634	1380
315	635	1375
316	636	1371
317	637	1366
318	637	1361
319	638	1357
320	639	1352
321	640	1349
322	649	1361
323	653	1364
324	659	1369
325	660	1365
326	661	1360
327	662	1356
328	663	1352
329	663	1348
330	664	1343
331	665	1339
332	666	1334
333	666	1329
334	667	1325
335	668	1320
336	669	1316
337	669	1312
338	672	1310
339	681	1322
340	684	1322
341	686	1321
342	687	1317
343	688	1313
344	689	1309
345	690	1306
346	691	1301
347	692	1297
348	693	1293
349	694	1289
350	694	1284
351	695	1280
352	696	1276
353	696	1271
354	697	1267
355	698	1262
356	698	1258
357	704	1264
358	712	1272
359	715	1271
360	717	1269
361	718	1266
362	719	1262
363	720	1258
364	721	1254
365	722	1250
366	723	1247
367	723	1243
368	724	1238
369	725	1234
370	725	1230
371	726	1226
372	727	1222
373	727	1218
374	728	1214
375	730	1212
376	739	1222
377	743	1222
378	745	1221
379	748	1220
380	749	1217
381	750	1213
382	751	1210
383	752	1207
384	753	1203
385	753	1199
386	754	1195
387	755	1191
388	755	1187
389	756	1183
390	757	1179
391	757	1175
392	758	1171
393	759	1167
394	760	1164
395	766	1168
396	772	1173
397	775	1173
398	778	1172
399	779	1169
400	780	1166
401	781	1162
402	782	1159
403	783	1155
404	784	1152
405	784	1148
406	785	1144
407	786	1140
408	786	1136
409	787	1133
410	788	1129
411	788	1125
412	789	1122
413	791	1120
414	792	1116
415	792	1113
416	793	1109
417	795	1107
418	803	1114
419	807	1115
420	809	1113
421	810	1110
422	811	1107
